date,url,username,content,content_tokenized,tweets_aux1
2022-10-30 23:59:09+00:00,https://twitter.com/LulaOficial/status/1586870354831622145,LulaOficial,"O povo brasileiro quer viver bem, comer bem, morar bem. Quer um bom emprego, um salário reajustado sempre acima da inflação, quer ter saúde e educação públicas de qualidade.  Quer liberdade religiosa. Quer  livros em vez de armas. O povo brasileiro quer ter de volta a esperança.","['o', 'povo', 'brasileiro', 'quer', 'viver', 'bem', ',', 'comer', 'bem', ',', 'morar', 'bem', '.', 'quer', 'um', 'bom', 'emprego', ',', 'um', 'salário', 'reajustado', 'sempre', 'acima', 'da', 'inflação', ',', 'quer', 'ter', 'saúde', 'e', 'educação', 'públicas', 'de', 'qualidade', '.', 'quer', 'liberdade', 'religiosa', '.', 'quer', 'livros', 'em', 'vez', 'de', 'armas', '.', 'o', 'povo', 'brasileiro', 'quer', 'ter', 'de', 'volta', 'a', 'esperança', '.']",povo brasileiro quer viver bem comer bem morar bem quer bom emprego salário reajustado sempre acima inflação quer ter saúde educação públicas qualidade quer liberdade religiosa quer livros vez armas povo brasileiro quer ter volta esperança
2022-10-30 23:58:03+00:00,https://twitter.com/LulaOficial/status/1586870077265252354,LulaOficial,O povo brasileiro mostrou hoje que deseja mais do que exercer o direito sagrado de escolher quem vai governar a sua vida. Ele quer participar ativamente das decisões do governo.,"['o', 'povo', 'brasileiro', 'mostrou', 'hoje', 'que', 'deseja', 'mais', 'do', 'que', 'exercer', 'o', 'direito', 'sagrado', 'de', 'escolher', 'quem', 'vai', 'governar', 'a', 'sua', 'vida', '.', 'ele', 'quer', 'participar', 'ativamente', 'das', 'decisões', 'do', 'governo', '.']",povo brasileiro mostrou hoje deseja exercer direito sagrado escolher vai governar vida quer participar ativamente decisões governo
2022-10-30 23:56:44+00:00,https://twitter.com/LulaOficial/status/1586869746103894017,LulaOficial,"Neste 30 de outubro histórico, a maioria do povo brasileiro deixou bem claro que deseja mais – e não menos democracia.","['neste', '30', 'de', 'outubro', 'histórico', ',', 'a', 'maioria', 'do', 'povo', 'brasileiro', 'deixou', 'bem', 'claro', 'que', 'deseja', 'mais', '–', 'e', 'não', 'menos', 'democracia', '.']",neste 30 outubro histórico maioria povo brasileiro deixou bem claro deseja – menos democracia
2022-10-30 23:55:54+00:00,https://twitter.com/LulaOficial/status/1586869537290461186,LulaOficial,"Esta não é uma vitória minha, nem do PT, nem dos partidos que me apoiaram nessa campanha. É a vitória de um imenso movimento democrático que se formou, acima dos partidos políticos, dos interesses pessoais e das ideologias, para que a democracia saísse vencedora.","['esta', 'não', 'é', 'uma', 'vitória', 'minha', ',', 'nem', 'do', 'pt', ',', 'nem', 'dos', 'partidos', 'que', 'me', 'apoiaram', 'nessa', 'campanha', '.', 'é', 'a', 'vitória', 'de', 'um', 'imenso', 'movimento', 'democrático', 'que', 'se', 'formou', ',', 'acima', 'dos', 'partidos', 'políticos', ',', 'dos', 'interesses', 'pessoais', 'e', 'das', 'ideologias', ',', 'para', 'que', 'a', 'democracia', 'saísse', 'vencedora', '.']",vitória pt partidos apoiaram nessa campanha vitória imenso movimento democrático formou acima partidos políticos interesses pessoais ideologias democracia saísse vencedora
2022-10-30 23:55:06+00:00,https://twitter.com/LulaOficial/status/1586869332084228099,LulaOficial,"Chegamos ao final de uma das mais importantes eleições da nossa história. Uma eleição que colocou frente a frente dois projetos opostos de país, e que hoje tem um único e grande vencedor: o povo brasileiro.","['chegamos', 'ao', 'final', 'de', 'uma', 'das', 'mais', 'importantes', 'eleições', 'da', 'nossa', 'história', '.', 'uma', 'eleição', 'que', 'colocou', 'frente', 'a', 'frente', 'dois', 'projetos', 'opostos', 'de', 'país', ',', 'e', 'que', 'hoje', 'tem', 'um', 'único', 'e', 'grande', 'vencedor', ':', 'o', 'povo', 'brasileiro', '.']",chegamos final importantes eleições história eleição colocou frente frente dois projetos opostos país hoje único grande vencedor povo brasileiro
2022-10-30 23:53:47+00:00,https://twitter.com/LulaOficial/status/1586869002894180352,LulaOficial,"Considero que tive um processo de ressureição na política brasileira. Tentaram me enterrar vivo, e agora estou aqui, para governar o país. Em uma situação muito difícil, mas tenho certeza que com a ajuda do povo vamos encontrar uma saída e restabelecer a paz.","['considero', 'que', 'tive', 'um', 'processo', 'de', 'ressureição', 'na', 'política', 'brasileira', '.', 'tentaram', 'me', 'enterrar', 'vivo', ',', 'e', 'agora', 'estou', 'aqui', ',', 'para', 'governar', 'o', 'país', '.', 'em', 'uma', 'situação', 'muito', 'difícil', ',', 'mas', 'tenho', 'certeza', 'que', 'com', 'a', 'ajuda', 'do', 'povo', 'vamos', 'encontrar', 'uma', 'saída', 'e', 'restabelecer', 'a', 'paz', '.']",considero processo ressureição política brasileira tentaram enterrar vivo agora aqui governar país situação difícil certeza ajuda povo vamos encontrar saída restabelecer paz
2022-10-30 23:53:09+00:00,https://twitter.com/LulaOficial/status/1586868842810187777,LulaOficial,"Sempre achei que Deus foi muito generoso comigo, para sair de onde eu sai e chegar onde eu cheguei. Sobretudo nesse momento, que não enfrentamos um candidato, enfrentamos a máquina do estado colocada a serviço do candidato da situação.","['sempre', 'achei', 'que', 'deus', 'foi', 'muito', 'generoso', 'comigo', ',', 'para', 'sair', 'de', 'onde', 'eu', 'sai', 'e', 'chegar', 'onde', 'eu', 'cheguei', '.', 'sobretudo', 'nesse', 'momento', ',', 'que', 'não', 'enfrentamos', 'um', 'candidato', ',', 'enfrentamos', 'a', 'máquina', 'do', 'estado', 'colocada', 'a', 'serviço', 'do', 'candidato', 'da', 'situação', '.']",sempre achei deus generoso comigo sair onde sai chegar onde cheguei sobretudo nesse momento enfrentamos candidato enfrentamos máquina estado colocada serviço candidato situação
2022-10-30 23:47:28+00:00,https://twitter.com/LulaOficial/status/1586867412393406464,LulaOficial,"Pronunciamento do presidente eleito do Brasil, Luiz InácioLuladaSilva ","['pronunciamento', 'do', 'presidente', 'eleito', 'do', 'brasil', ',', 'luiz', 'inácioluladasilva']",pronunciamento presidente eleito brasil luiz inácioluladasilva
2022-10-30 22:53:55+00:00,https://twitter.com/LulaOficial/status/1586853936828407808,LulaOficial,:camera_with_flash:: @ricardostuckert,"[':', 'camera_with_flash', ':', ':', '@', 'ricardostuckert']",camera_with_flash ricardostuckert
2022-10-30 22:50:02+00:00,https://twitter.com/LulaOficial/status/1586852959937302528,LulaOficial,Democracia. ,"['democracia', '.']",democracia
2022-10-30 02:54:48+00:00,https://twitter.com/LulaOficial/status/1586552167632056320,LulaOficial,Vote pelo seu amanhã. Pelo amanhã de todos nós. Vote 13. Boa noite. ,"['vote', 'pelo', 'seu', 'amanhã', '.', 'pelo', 'amanhã', 'de', 'todos', 'nós', '.', 'vote', '13.', 'boa', 'noite', '.']",vote amanhã amanhã todos vote 13. boa noite
2022-10-30 02:26:18+00:00,https://twitter.com/LulaOficial/status/1586544997393760256,LulaOficial,"A cada evento que fizemos, cada ato e caminhada, vimos a esperança no olho das pessoas. Chegamos até aqui do lado da verdade e com a fé de que nosso país pode viver dias melhores. Amanhã, vote 13. Por amor pelo Brasil. #BrasilDaEsperança

:camera_with_flash:: @ricardostuckert ","['a', 'cada', 'evento', 'que', 'fizemos', ',', 'cada', 'ato', 'e', 'caminhada', ',', 'vimos', 'a', 'esperança', 'no', 'olho', 'das', 'pessoas', '.', 'chegamos', 'até', 'aqui', 'do', 'lado', 'da', 'verdade', 'e', 'com', 'a', 'fé', 'de', 'que', 'nosso', 'país', 'pode', 'viver', 'dias', 'melhores', '.', 'amanhã', ',', 'vote', '13.', 'por', 'amor', 'pelo', 'brasil', '.', '#', 'brasildaesperança', ':', 'camera_with_flash', ':', ':', '@', 'ricardostuckert']",cada evento fizemos cada ato caminhada vimos esperança olho pessoas chegamos aqui lado verdade fé país pode viver dias melhores amanhã vote 13. amor brasil brasildaesperança camera_with_flash ricardostuckert
2022-10-30 02:00:35+00:00,https://twitter.com/LulaOficial/status/1586538526253977604,LulaOficial,"O voto é secreto, seu status não. Se quiser, compartilhe. #EquipeLula ","['o', 'voto', 'é', 'secreto', ',', 'seu', 'status', 'não', '.', 'se', 'quiser', ',', 'compartilhe', '.', '#', 'equipelula']",voto secreto status quiser compartilhe equipelula
2022-10-30 01:40:20+00:00,https://twitter.com/LulaOficial/status/1586533427586531328,LulaOficial,"No 1° turno, tivemos a maior votação da história do Brasil. No 2° turno, juntamos forças, viajamos o Brasil, apresentamos propostas, paz e vamos ampliar nossa vitória. Amanhã, participe e vote pela democracia no Brasil. Vote 13! #EquipeLula ","['no', '1°', 'turno', ',', 'tivemos', 'a', 'maior', 'votação', 'da', 'história', 'do', 'brasil', '.', 'no', '2°', 'turno', ',', 'juntamos', 'forças', ',', 'viajamos', 'o', 'brasil', ',', 'apresentamos', 'propostas', ',', 'paz', 'e', 'vamos', 'ampliar', 'nossa', 'vitória', '.', 'amanhã', ',', 'participe', 'e', 'vote', 'pela', 'democracia', 'no', 'brasil', '.', 'vote', '13', '!', '#', 'equipelula']",1° turno maior votação história brasil 2° turno juntamos forças viajamos brasil apresentamos propostas paz vamos ampliar vitória amanhã participe vote democracia brasil vote 13 equipelula
2022-10-30 01:01:49+00:00,https://twitter.com/LulaOficial/status/1586523736051974145,LulaOficial,"Em Sergipe, vote no @SenadorRogerio e @GAMAAJU. #EquipeLula

:camera_with_flash:: @ricardostuckert ","['em', 'sergipe', ',', 'vote', 'no', '@', 'senadorrogerio', 'e', '@', 'gamaaju', '.', '#', 'equipelula', ':', 'camera_with_flash', ':', ':', '@', 'ricardostuckert']",sergipe vote senadorrogerio gamaaju equipelula camera_with_flash ricardostuckert
